#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 999 99.0 99.0  1.19 11.43  6.33 213 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 00 50 999 99.0 99.0  1.30 12.12  6.83 209 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 01 50 999 99.0 99.0  1.18 12.12  5.98 222 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 02 50 999 99.0 99.0  1.17 11.43  6.02 212 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 03 50 999 99.0 99.0  1.15 14.81  5.83 344 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 04 50 999 99.0 99.0  1.27 11.43  6.20 214 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 05 50 999 99.0 99.0  1.23 10.81  5.62 214 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 06 50 999 99.0 99.0  1.31 11.43  5.91 220 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 07 50 999 99.0 99.0  1.29 11.43  5.36 231 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 08 50 999 99.0 99.0  1.32 10.81  5.26 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 09 50 999 99.0 99.0  1.31 10.81  5.38 226 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 10 50 999 99.0 99.0  1.40 11.43  5.54 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 11 50 999 99.0 99.0  1.28 10.81  5.31 216 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 12 50 999 99.0 99.0  1.30 11.43  5.39 215 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 13 50 999 99.0 99.0  1.29 11.43  5.10 214 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 14 50 999 99.0 99.0  1.33  4.76  5.19 117 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 15 50 999 99.0 99.0  1.23  4.76  5.29 102 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 16 50 999 99.0 99.0  1.29 10.81  5.63 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 17 50 999 99.0 99.0  1.29 10.81  5.29 211 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 18 50 999 99.0 99.0  1.38 10.81  5.44 222 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 19 50 999 99.0 99.0  1.45 19.05  5.39 296 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 20 50 999 99.0 99.0  1.30  5.26  5.27 116 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 21 50 999 99.0 99.0  1.38  5.26  5.51 133 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 22 50 999 99.0 99.0  1.48 19.05  5.83 343 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 23 50 999 99.0 99.0  1.39 19.05  5.71 309 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 00 50 999 99.0 99.0  1.34 19.05  5.77 311 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 01 50 999 99.0 99.0  1.30 19.05  5.84 288 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 02 50 999 99.0 99.0  1.26 19.05  5.66 300 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 03 50 999 99.0 99.0  1.38 19.05  5.66 320 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 04 50 999 99.0 99.0  1.25 19.05  5.55 359 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 05 50 999 99.0 99.0  1.37 17.39  5.62 281 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 06 50 999 99.0 99.0  1.52 17.39  5.50 323 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 07 50 999 99.0 99.0  1.37 17.39  5.31 321 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 08 50 999 99.0 99.0  1.53 19.05  5.90 312 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 09 50 999 99.0 99.0  1.56 17.39  5.42 295 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 10 50 999 99.0 99.0  1.46  5.26  5.43 139 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 11 50 999 99.0 99.0  1.50 17.39  5.77 300 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 12 50 999 99.0 99.0  1.40 10.00  5.37 214 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 13 50 999 99.0 99.0  1.39 17.39  5.69 333 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 14 50 999 99.0 99.0  1.26  5.88  5.22 142 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 15 50 999 99.0 99.0  1.47 17.39  5.60 309 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 16 50 999 99.0 99.0  1.38 17.39  5.44 312 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 17 50 999 99.0 99.0  1.37 10.00  5.18 214 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 18 50 999 99.0 99.0  1.43 10.00  5.47 224 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 19 50 999 99.0 99.0  1.50 17.39  5.36 320 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 20 50 999 99.0 99.0  1.41 17.39  5.44 295 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 21 50 999 99.0 99.0  1.48 17.39  5.42 277 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 22 50 999 99.0 99.0  1.46 17.39  5.68 312 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 23 50 999 99.0 99.0  1.55  5.88  5.46 142 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 00 50 999 99.0 99.0  1.47 10.00  5.39 212 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 01 50 999 99.0 99.0  1.53 17.39  5.53 307 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 02 50 999 99.0 99.0  1.42 17.39  5.45 318 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 03 50 999 99.0 99.0  1.43 16.00  5.40 330 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 04 50 999 99.0 99.0  1.48 16.00  5.54 296 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 05 50 999 99.0 99.0  1.49 16.00  5.70 295 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 06 50 999 99.0 99.0  1.54  6.67  5.59 155 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 07 50 999 99.0 99.0  1.49 17.39  5.48 304 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 08 50 999 99.0 99.0  1.46  6.25  5.43 149 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 09 50 999 99.0 99.0  1.59  5.26  5.21 126 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 10 50 999 99.0 99.0  1.78  6.25  5.35 146 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 11 50 999 99.0 99.0  1.86  6.25  5.51 147 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 12 50 999 99.0 99.0  1.90  5.88  5.49 136 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 13 50 999 99.0 99.0  1.83  6.67  5.37 150 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 14 50 999 99.0 99.0  1.82 17.39  5.60 158 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 15 50 999 99.0 99.0  1.70  6.67  5.42 152 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 16 50 999 99.0 99.0  1.71  7.14  5.58 161 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 17 50 999 99.0 99.0  1.67 19.05  5.59 191 9999.0 999.0 999.0 999.0 99.0 99.00
